ss_id	ss_name	ss_lat	ss_long
558	ОАО Гидроавтоматика	53.212121	50.287984
559	ул.Стара-Загора	53.228022	50.207782
560	Соборная мечеть	53.229731	50.206159
561	Парк Гагарина	53.229535	50.205875
562	ул.Фадеева	53.232021	50.201036
563	ул.Фадеева	53.231616	50.201787
564	Московское шоссе	53.242231	50.210799
565	Московское шоссе	53.242763	50.210756
566	ул.Фадеева	53.238538	50.215471
567	ул.Фадеева	53.238599	50.215906
568	ул.Стара-Загора	53.235100	50.220007
569	Кинотеатр Юность	53.216718	50.243074
570	Кинотеатр Юность	53.217951	50.242345
571	Станция метро Безымянка	53.212362	50.247098
572	Станция метро Безымянка	53.213390	50.248120
573	ул.Александра Матросова	53.210338	50.242774
574	ул.Александра Матросова	53.210743	50.244534
575	ул.Средне-Садовая	53.208365	50.238407
576	ул.Средне-Садовая	53.208648	50.240049
578	ул.Стара-Загора	53.234783	50.221040
579	Военный городок 2	53.106069	50.134963
580	Строительная	53.112141	50.129161
581	Строительная	53.112025	50.128539
582	Военный городок 1	53.116558	50.124247
583	Военный городок 1	53.116429	50.123689
584	ул.Дорожная	53.118825	50.121586
585	ул.Дорожная	53.118207	50.121586
586	Дачная	53.122508	50.117424
587	Дачная	53.121890	50.117488
588	Кряжский РМЗ	53.128804	50.110450
589	Кряжский РМЗ	53.128238	50.110343
591	Кряж	53.135306	50.104503
592	ул.Бакинская	53.117608	50.085398
593	ул.Нефтяников	53.115013	50.084057
594	ул.Егорова	53.108006	50.080130
595	Поликлиника	53.223313	50.206950
596	Поликлиника	53.223179	50.206966
597	9-й микрорайон	53.225686	50.211401
598	Больница	53.125876	50.174241
599	Больница	53.126063	50.174563
600	Кладбище Песчаная Глинка	53.123320	50.195205
601	Кладбище Песчаная Глинка	53.123500	50.193403
602	Трудовой лагерь Прогресс	53.123336	50.208158
603	Трудовой лагерь Прогресс	53.123706	50.207414
604	Поворот на Рубежное	53.115484	50.223969
605	Поворот на Рубежное	53.115857	50.223926
606	Кладбище Рубежное	53.116939	50.229816
607	Кладбище Рубежное	53.116727	50.229248
608	Совхоз Рубежное	53.133910	50.235953
609	Сорокины Хутора	53.307682	50.236966
610	Сорокины Хутора	53.307938	50.237063
611	ул.Магистральная(пос.Сорокины Хутора)	53.295936	50.245109
