rc_id	rl_id	ss_id	rc_orderby	rc_dist
407208	4072	206	8	0.302000
407209	4072	657	9	0.501000
407210	4072	571	10	0.377000
407211	4072	573	11	0.376000
407212	4072	575	12	0.392000
407213	4072	758	13	0.516000
407214	4072	970	14	0.000000
407301	4073	456	1	0.224000
407302	4073	474	2	0.987000
407303	4073	878	3	0.392000
407304	4073	880	4	0.843000
407305	4073	837	5	0.041000
407306	4073	1376	6	0.000000
407401	4074	1376	1	0.842000
407402	4074	881	2	0.388235
407403	4074	879	3	0.889000
407404	4074	456	4	0.000000
407501	4075	970	1	0.590000
407502	4075	654	2	0.346000
407503	4075	576	3	0.391000
407504	4075	574	4	0.353000
407505	4075	655	5	0.504000
407506	4075	656	6	0.810000
407507	4075	207	7	1.179000
407508	4075	209	8	0.434000
407509	4075	474	9	0.000000
407601	4076	474	1	7.516000
407602	4076	970	2	0.000000
407701	4077	470	1	0.109000
407702	4077	466	2	0.455000
407703	4077	464	3	0.454000
407704	4077	462	4	0.232000
407705	4077	460	5	0.386000
407706	4077	458	6	0.527000
407707	4077	210	7	1.162000
407708	4077	214	8	0.183000
407709	4077	752	9	0.918000
407710	4077	162	10	0.481000
407711	4077	161	11	0.665000
407712	4077	159	12	0.376000
407713	4077	157	13	0.441000
407714	4077	155	14	0.490000
407715	4077	153	15	0.474000
407716	4077	152	16	0.459000
407717	4077	154	17	0.344000
407718	4077	156	18	0.541000
407719	4077	158	19	0.600000
407720	4077	160	20	0.706000
407721	4077	473	21	0.840000
407722	4077	207	22	1.179000
407723	4077	209	23	0.460000
407724	4077	474	24	0.000000
407801	4078	474	1	0.987000
407802	4078	878	2	0.904000
407803	4078	880	3	0.843000
407804	4078	837	4	0.041000
407805	4078	1376	5	0.846000
407806	4078	881	6	0.388000
407807	4078	879	7	0.901000
407808	4078	456	8	0.231000
407809	4078	457	9	0.351000
407810	4078	459	10	0.231000
407811	4078	461	11	0.419000
407812	4078	463	12	0.526000
407813	4078	470	13	0.000000
436501	4365	132	1	0.403000
436502	4365	135	2	0.417000
436503	4365	862	3	0.528000
436504	4365	863	4	0.644000
436505	4365	864	5	0.688000
436506	4365	866	6	0.738000
436507	4365	868	7	0.801000
436508	4365	870	8	1.005000
436509	4365	872	9	0.641000
436510	4365	744	10	0.390000
436511	4365	742	11	0.445000
436512	4365	1996	12	0.275000
436513	4365	740	13	1.112000
436514	4365	669	14	0.674000
436515	4365	671	15	0.374000
436516	4365	673	16	0.924000
436517	4365	675	17	0.637000
436518	4365	677	18	0.516000
436519	4365	679	19	0.564000
436520	4365	681	20	0.122000
436521	4365	873	21	0.713000
436522	4365	874	22	0.765000
436523	4365	875	23	0.752000
436524	4365	751	24	0.420000
436525	4365	749	25	0.515000
436526	4365	876	26	0.361000
436527	4365	877	27	0.967000
436528	4365	871	28	5.939000
436529	4365	869	29	0.855000
436530	4365	867	30	0.662000
436531	4365	865	31	0.632000
436532	4365	131	32	0.666000
436533	4365	129	33	0.276000
436534	4365	127	34	0.368000
436535	4365	738	35	0.325000
436536	4365	132	36	0.000000
446501	4465	132	1	0.403000
446502	4465	135	2	0.417000
446503	4465	862	3	0.528000
446504	4465	863	4	0.644000
446505	4465	864	5	0.688000
446506	4465	866	6	0.738000
446507	4465	868	7	0.801000
446508	4465	870	8	1.131000
446509	4465	746	9	0.255000
446510	4465	747	10	0.559000
446511	4465	748	11	0.482000
446512	4465	750	12	0.761000
446513	4465	753	13	0.659000
446514	4465	882	14	0.652000
446515	4465	883	15	0.282000
446516	4465	682	16	0.357000
446517	4465	680	17	0.541000
446518	4465	678	18	0.671000
446519	4465	676	19	0.809000
446520	4465	674	20	0.549000
446521	4465	672	21	0.683000
446522	4465	670	22	0.902000
446523	4465	739	23	0.328000
446524	4465	1997	24	0.389000
446525	4465	741	25	0.375000
446526	4465	743	26	0.728000
446527	4465	745	27	1.036000
446528	4465	871	28	5.939000
446529	4465	869	29	0.855000
446530	4465	867	30	0.662000
446531	4465	865	31	0.632000
446532	4465	131	32	0.666000
446533	4465	129	33	0.276000
446534	4465	127	34	0.368000
446535	4465	738	35	0.325000
446536	4465	132	36	0.000000
516501	5165	721	1	0.287179
516502	5165	719	2	1.067006
516503	5165	923	3	0.297290
516504	5165	925	4	0.427811
516505	5165	928	5	0.473240
516506	5165	160	6	0.740998
516507	5165	215	7	0.421198
516508	5165	217	8	0.597883
516509	5165	201	9	0.411816
516510	5165	199	10	1.039000
516511	5165	448	11	0.733000
516512	5165	451	12	0.311000
516513	5165	452	13	1.171799
516514	5165	93	14	0.345658
516515	5165	934	15	0.677699
516516	5165	936	16	0.725208
516517	5165	938	17	0.305908
516518	5165	940	18	0.408094
516519	5165	942	19	0.280744
516520	5165	944	20	0.000000
516601	5166	944	1	0.377000
516602	5166	943	2	0.377000
516603	5166	941	3	0.273000
516604	5166	939	4	0.795000
516605	5166	937	5	0.672000
516606	5166	935	6	0.317000
516607	5166	104	7	1.142000
516608	5166	486	8	0.333000
516609	5166	477	9	0.990000
516610	5166	471	10	0.609000
516611	5166	198	11	0.545000
516612	5166	200	12	0.338000
516613	5166	472	13	0.178000
516614	5166	218	14	0.600000
516615	5166	518	15	0.613000
516616	5166	161	16	0.465000
516617	5166	929	17	0.451000
516618	5166	927	18	0.360000
516619	5166	924	19	0.936000
516620	5166	718	20	0.335000
516621	5166	720	21	0.140000
516622	5166	721	22	0.000000
516701	5167	972	1	0.449229
516702	5167	923	2	0.297290
516703	5167	925	3	0.427811
516704	5167	928	4	0.473240
516705	5167	160	5	0.740998
516706	5167	215	6	0.421198
516707	5167	217	7	0.597883
516708	5167	201	8	0.411816
516709	5167	199	9	1.039000
516710	5167	448	10	0.733000
516711	5167	451	11	0.311000
516712	5167	452	12	1.171799
516713	5167	93	13	0.345658
516714	5167	934	14	0.677699
516715	5167	936	15	0.725208
516716	5167	938	16	0.305908
516717	5167	940	17	0.408094
516718	5167	942	18	0.280744
516719	5167	944	19	0.000000
516801	5168	944	1	0.377000
516802	5168	943	2	0.377000
516803	5168	941	3	0.273000
516804	5168	939	4	0.795000
516805	5168	937	5	0.672000
516806	5168	935	6	0.317000
516807	5168	104	7	1.142000
516808	5168	486	8	0.333000
516809	5168	477	9	0.990000
516810	5168	471	10	0.609000
516811	5168	198	11	0.545000
516812	5168	200	12	0.338000
516813	5168	472	13	0.178000
516814	5168	218	14	0.600000
516815	5168	518	15	0.613000
516816	5168	161	16	0.465000
516817	5168	929	17	0.451000
516818	5168	927	18	0.360000
516819	5168	924	19	0.368000
516820	5168	972	20	0.000000
516901	5169	451	1	0.304151
516902	5169	452	2	1.171799
516903	5169	93	3	0.345658
516904	5169	934	4	0.677699
516905	5169	936	5	0.725208
516906	5169	938	6	0.305908
516907	5169	940	7	0.408094
516908	5169	942	8	0.280744
516909	5169	944	9	0.000000
517001	5170	944	1	0.377000
517002	5170	943	2	0.377000
517003	5170	941	3	0.273000
517004	5170	939	4	0.795000
517005	5170	937	5	0.672000
517006	5170	935	6	0.317000
517007	5170	104	7	1.142000
517008	5170	486	8	0.333000
517009	5170	477	9	0.061000
517010	5170	451	10	0.000000
556501	5565	174	1	0.493000
556502	5565	173	2	0.434000
556503	5565	171	3	0.417000
556504	5565	169	4	0.381000
556505	5565	167	5	0.508000
556506	5565	165	6	0.600000
556507	5565	215	7	0.421000
556508	5565	217	8	0.315000
556509	5565	202	9	0.815000
556510	5565	657	10	0.501000
556511	5565	571	11	0.377000
556512	5565	573	12	0.376000
